Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-288.24396	89.538445	-136.69193	-358.7047	-170.97952	9.88975	-153.28983	-181.86711	1000.0	1000.0	3999	4.167842	3.1714633	20.928846	-4.2473974	4.168215	3.1743193	21.89783	-4.0128217	-3.0742478	1.5723592	8.532911	-12.1292095	-5.052111	0.85067385	67.51682353019714
2	-262.07922	32.306717	-232.03242	-315.5186	227.31963	23.311493	284.32492	191.72125	1000.0	1000.0	7999	17.405022	7.7154026	51.602623	-3.8403933	17.40527	7.7138066	51.433216	-3.575391	-0.6562588	2.85712	18.480373	-12.631491	-18.897507	2.7494483	147.71355867385864
3	-230.49165	129.92763	-28.907349	-387.91284	59.512806	60.35457	152.45657	-15.679599	1000.0	1000.0	11999	37.906635	11.49467	84.113335	12.166041	37.90635	11.491602	86.77889	11.893614	0.066402145	3.2852259	24.2844	-14.038622	-39.447113	4.8621006	218.3597116470337
4	465.26685	406.0823	945.2314	-140.80469	1682.0111	101.224396	1774.1211	1403.4088	1000.0	1000.0	15999	44.774487	14.092599	81.601234	16.510185	44.774605	14.088721	82.637985	16.441322	-2.1312377	2.1066246	16.648314	-11.742082	-45.401432	4.1198907	290.7582142353058
5	723.33057	572.8358	1432.4539	-167.27052	1864.8933	58.717167	1923.4309	1771.3928	1000.0	1000.0	19999	48.50345	16.779879	95.51419	17.094383	48.503586	16.777521	94.99387	16.727417	-2.0462453	2.192589	16.332012	-13.167347	-49.09914	3.9376075	362.39827942848206
6	1334.171	551.85834	1984.657	700.4951	2231.27	479.30435	2613.1865	1268.1366	1000.0	1000.0	23999	55.60556	21.938484	114.61451	18.444107	55.60587	21.938686	114.68891	18.475662	-1.5990547	2.5665848	20.95351	-14.433567	-56.245567	4.775565	435.2947907447815
7	1968.0139	477.32147	2380.9202	1172.9431	3023.1902	44.583195	3095.2463	2958.1045	1000.0	1000.0	27999	66.94915	28.133217	137.26329	20.583565	66.94934	28.133202	137.20206	19.250446	-1.1288203	2.8903677	23.732618	-15.011442	-67.59908	6.471745	508.4308958053589
8	2636.5083	210.36684	2955.3972	2399.4219	3347.3547	107.90953	3509.247	3177.1882	1000.0	1000.0	31999	82.17745	34.519684	162.62202	21.945814	82.17745	34.519753	163.8511	20.983843	-0.5822316	3.21777	27.988409	-15.942794	-82.82107	8.736548	579.5643198490143
9	3116.8696	110.29717	3299.5454	3013.814	3840.2363	108.40806	4013.3628	3677.8984	1000.0	1000.0	35999	100.4906	41.373104	192.09766	23.239883	100.49055	41.37315	189.50653	22.901886	-0.041724972	3.5347416	28.551334	-13.635479	-101.15317	10.755222	649.0607945919037
10	3656.3096	134.43422	3791.8481	3440.5935	3973.852	73.70208	4076.5833	3826.8408	1000.0	1000.0	39999	120.5105	48.600155	217.6132	24.5294	120.51062	48.60172	215.91234	22.714045	0.35637718	3.6743426	28.176281	-13.5811825	-121.14575	11.784291	720.2101378440857
11	3917.017	87.444496	4034.1794	3787.8147	4223.0083	171.4601	4449.953	3853.9082	1000.0	1000.0	43999	142.13574	55.83102	241.41159	24.25504	142.13568	55.831917	242.5635	23.614777	0.80289286	3.8600922	27.91189	-14.172061	-142.78406	12.951703	794.2244246006012
12	4065.4092	118.63629	4260.652	3944.8975	4537.579	82.583015	4669.3706	4407.6797	1000.0	1000.0	47999	164.18454	62.34932	267.3876	22.829514	164.18495	62.35052	265.7721	23.040388	1.1683985	4.0093427	27.621082	-15.428829	-164.81876	13.658354	864.2000136375427
13	4312.127	103.32629	4430.639	4146.6885	4663.3584	121.82967	4816.425	4469.809	1000.0	1000.0	51999	185.30914	67.9337	288.40088	16.643606	185.3092	67.93505	289.73346	19.107573	1.4229603	4.1598477	29.245853	-13.959042	-185.89456	14.461672	935.5786309242249
14	4456.8364	78.93592	4535.913	4351.366	4806.9814	98.02608	4934.7925	4616.6235	1000.0	1000.0	55999	205.39346	72.77806	309.6472	19.035685	205.3934	72.779976	311.21133	19.63829	1.6050968	4.239071	31.163069	-13.530904	-205.91597	15.408096	1006.8385245800018
15	4613.708	169.72398	4805.6133	4406.5664	4843.866	87.53155	4991.3315	4637.3545	1000.0	1000.0	59999	223.92216	77.02959	328.3519	22.468136	223.92255	77.03185	327.60278	18.463076	1.8290796	4.347112	33.909748	-14.439293	-224.3993	15.892833	1077.106486082077
